# 六脉神剑 / 缠论策略回测标的池 —— 500 只
#
# 选取口径：全市场（沪深主板/创业板/科创板，剔 ST）**随机抽样** 500 只，种子 20260920；
# 剔除 ST/退市、北交所（新浪日线接口不支持）。
# 生成命令：`python scripts/build_pool.py --n 500 --mode random --seed 20260920`
#
# 一行一只：`代码 名称`（代码用新浪格式 sh/sz + 6 位，名称仅作注释）。
#
# ⚠️ 这不是「股票池推荐」，只是为策略评估凑样本量的**回测样本**。
# 池子构成与后续涨跌**无关**，是评价择时策略的公正样本；
# 对比 `pool_liquid500.txt`（按成交额选，含前视选择偏差）。

sh603226 菲林格尔
sh603273 天元智能
sh603278 大业股份
sh603280 南方路机
sh603284 林平发展
sh603291 联合水务
sh603315 福鞍股份
sh603318 水发燃气
sh603326 我乐家居
sh603339 四方科技
sh603350 安乃达
sh603389 亚振家居
sh603416 信捷电气
sh603520 司太立
sh603579 荣泰健康
sh603586 金麒麟
sh603587 地素时尚
sh603601 再升科技
sh603617 君禾股份
sh603650 彤程新材
sh603661 恒林股份
sh603679 华体科技
sh603686 福龙马
sh603696 安记食品
sh603697 有友食品
sh603711 香飘飘
sh603717 天域生物
sh603739 蔚蓝生物
sh603797 联泰环保
sh603800 洪田股份
sh603809 豪能股份
sh603816 顾家家居
sh603818 曲美家居
sh603826 坤彩科技
sh603877 太平鸟
sh603888 新华网
sh603926 铁流股份
sh603933 睿能科技
sh603983 丸美生物
sh605033 美邦股份
sh605066 天正电气
sh605080 浙江自然
sh605089 味知香
sh605122 四方新材
sh605166 聚合顺
sh605189 富春染织
sh605196 华通线缆
sh688016 心脉医疗
sh688017 绿的谐波
sh688037 芯源微
sh688046 药康生物
sh688049 炬芯科技
sh688050 爱博医疗
sh688055 龙腾光电
sh688062 迈威生物
sh688069 德林海
sh688075 安旭生物
sh688080 映翰通
sh688084 晶品特装
sh688098 申联生物
sh688106 金宏气体
sh688138 清溢光电
sh688150 莱特光电
sh688163 赛伦生物
sh688169 石头科技
sh688182 灿勤科技
sh688202 美迪西
sh688205 德科立
sh688207 格灵深瞳
sh688269 凯立新材
sh688278 特宝生物
sh688295 中复神鹰
sh688309 恒誉科技
sh688310 迈得医疗
sh688313 仕佳光子
sh688334 西高院
sh688336 三生国健
sh688367 工大高科
sh688450 光格科技
sh688479 友车科技
sh688512 慧智微
sh688528 秦川物联
sh688536 思瑞浦
sh688560 明冠新材
sh688571 杭华股份
sh688579 地纬智能
sh688593 新相微
sh688603 天承科技
sh688611 杭州柯林
sh688628 优利德
sh688633 星球石墨
sh688646 逸飞激光
sh688660 电气风电
sh688669 聚石化学
sh688683 莱尔科技
sh688691 灿芯股份
sh688693 锴威特
sh688697 纽威数控
sh688702 盛科通信
sh688712 北芯生命
sh688722 同益中
sh688758 赛分科技
sh688781 视涯科技
sh688796 百奥赛图
sh688798 艾为电子
sh688835 高凯技术
sh689009 九号公司
